time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-22 00:00:00+00:00,2,2,572,87
2023-01-23 00:00:00+00:00,1,1,306,54
2023-01-24 00:00:00+00:00,1,1,120,18
2023-01-25 00:00:00+00:00,3,3,121,9
2023-01-26 00:00:00+00:00,1,1,113,10
2023-01-27 00:00:00+00:00,2,1,143,13
2023-01-28 00:00:00+00:00,1,1,290,43
2023-01-29 00:00:00+00:00,7,5,625,70
2023-01-30 00:00:00+00:00,10,7,960,82
2023-01-31 00:00:00+00:00,7,5,1756,122
2023-02-01 00:00:00+00:00,1,1,907,130
2023-02-02 00:00:00+00:00,12,8,1458,99
2023-02-03 00:00:00+00:00,15,7,870,92
2023-02-04 00:00:00+00:00,10,8,1190,106
2023-02-05 00:00:00+00:00,19,9,2133,158
2023-02-06 00:00:00+00:00,8,6,1532,163
2023-02-07 00:00:00+00:00,11,4,1145,122
2023-02-08 00:00:00+00:00,5,3,1915,126
2023-02-09 00:00:00+00:00,13,4,982,129
2023-02-10 00:00:00+00:00,1,1,28,11
2023-02-11 00:00:00+00:00,3,3,10,6
2023-02-12 00:00:00+00:00,1,1,12,8
2023-02-13 00:00:00+00:00,2,2,9,4
2023-02-14 00:00:00+00:00,2,2,6,2
2023-02-15 00:00:00+00:00,2,2,4,3
2023-02-16 00:00:00+00:00,2,2,13,6
2023-02-17 00:00:00+00:00,1,1,4,4
2023-02-18 00:00:00+00:00,2,2,10,3
2023-02-19 00:00:00+00:00,9,5,1,1
2023-02-20 00:00:00+00:00,2,2,9,4
2023-02-21 00:00:00+00:00,2,2,5,2
2023-02-22 00:00:00+00:00,3,3,22,4
2023-02-23 00:00:00+00:00,2,2,15,3
2023-02-24 00:00:00+00:00,3,3,0,0
2023-02-25 00:00:00+00:00,2,2,9,2
2023-02-26 00:00:00+00:00,4,3,12,5
2023-02-27 00:00:00+00:00,3,3,13,10
2023-02-28 00:00:00+00:00,1,1,13,6
2023-03-01 00:00:00+00:00,3,3,4,3
2023-03-02 00:00:00+00:00,5,4,8,3
2023-03-03 00:00:00+00:00,1,1,0,0
2023-03-04 00:00:00+00:00,2,2,62,4
2023-03-05 00:00:00+00:00,2,2,8,5
2023-03-06 00:00:00+00:00,3,3,55,8
2023-03-07 00:00:00+00:00,1,1,2,2
2023-03-08 00:00:00+00:00,1,1,9,3
2023-03-09 00:00:00+00:00,2,2,0,0
2023-03-10 00:00:00+00:00,3,3,23,4
2023-03-11 00:00:00+00:00,1,1,1,1
2023-03-12 00:00:00+00:00,2,2,0,0
2023-03-13 00:00:00+00:00,2,2,18,2
2023-03-14 00:00:00+00:00,3,3,8,1
2023-03-15 00:00:00+00:00,2,2,1,1
2023-03-16 00:00:00+00:00,1,1,8,3
2023-03-17 00:00:00+00:00,3,3,8,4
2023-03-18 00:00:00+00:00,2,2,3,2
2023-03-19 00:00:00+00:00,3,3,9,3
2023-03-20 00:00:00+00:00,3,3,7,5
2023-03-21 00:00:00+00:00,2,2,9,3
2023-03-22 00:00:00+00:00,1,1,11,5
2023-03-23 00:00:00+00:00,1,1,0,0
2023-03-24 00:00:00+00:00,4,4,10,2
2023-03-25 00:00:00+00:00,2,2,1,1
2023-03-26 00:00:00+00:00,5,5,12,4
2023-03-27 00:00:00+00:00,2,2,85,14
2023-03-28 00:00:00+00:00,1,1,49,7
2023-03-29 00:00:00+00:00,2,2,6,3
2023-03-30 00:00:00+00:00,3,3,0,0
2023-03-31 00:00:00+00:00,1,1,10,3
2023-04-01 00:00:00+00:00,1,1,7,4
2023-04-02 00:00:00+00:00,1,1,6,2
2023-04-03 00:00:00+00:00,2,2,1,1
2023-04-04 00:00:00+00:00,1,1,2,2
2023-04-05 00:00:00+00:00,2,2,2,2
2023-04-06 00:00:00+00:00,2,2,1,1
2023-04-07 00:00:00+00:00,1,1,0,0
2023-04-08 00:00:00+00:00,1,1,2,2
2023-04-09 00:00:00+00:00,2,2,1,1
2023-04-10 00:00:00+00:00,1,1,2,2
2023-04-11 00:00:00+00:00,2,2,3,2
2023-04-12 00:00:00+00:00,2,2,11,3
2023-04-13 00:00:00+00:00,1,1,0,0
2023-04-14 00:00:00+00:00,1,1,0,0
2023-04-15 00:00:00+00:00,3,3,7,1
2023-04-16 00:00:00+00:00,2,2,4,2
2023-04-17 00:00:00+00:00,2,2,6,2
2023-04-18 00:00:00+00:00,1,1,0,0
2023-04-19 00:00:00+00:00,3,2,6,3
2023-04-20 00:00:00+00:00,3,2,16,4
2023-04-21 00:00:00+00:00,3,2,2,2
2023-04-22 00:00:00+00:00,4,3,4,3
2023-04-23 00:00:00+00:00,5,4,3,1
2023-04-24 00:00:00+00:00,5,4,32,5
2023-04-25 00:00:00+00:00,3,2,1,1
2023-04-26 00:00:00+00:00,5,4,2,2
2023-04-27 00:00:00+00:00,3,2,60,25
2023-04-28 00:00:00+00:00,1,1,17,5
2023-04-29 00:00:00+00:00,3,2,17,5
2023-04-30 00:00:00+00:00,4,3,22,3
2023-05-01 00:00:00+00:00,4,3,8,7
2023-05-02 00:00:00+00:00,3,2,9,5
2023-05-03 00:00:00+00:00,3,2,18,4
2023-05-04 00:00:00+00:00,4,3,43,6
2023-05-05 00:00:00+00:00,4,3,9,5
2023-05-06 00:00:00+00:00,4,3,7,4
2023-05-07 00:00:00+00:00,4,3,2,2
2023-05-08 00:00:00+00:00,4,3,0,0
2023-05-09 00:00:00+00:00,3,2,6,4
2023-05-10 00:00:00+00:00,5,4,17,7
2023-05-11 00:00:00+00:00,4,3,6,2
2023-05-12 00:00:00+00:00,3,2,18,5
2023-05-13 00:00:00+00:00,4,3,8,4
2023-05-14 00:00:00+00:00,3,2,7,3
2023-05-15 00:00:00+00:00,4,3,43,7
2023-05-16 00:00:00+00:00,3,2,23,6
2023-05-17 00:00:00+00:00,3,2,12,5
2023-05-18 00:00:00+00:00,3,2,34,8
2023-05-19 00:00:00+00:00,3,2,36,6
2023-05-20 00:00:00+00:00,3,2,46,9
2023-05-21 00:00:00+00:00,3,2,5,3
2023-05-22 00:00:00+00:00,4,3,6,3
2023-05-23 00:00:00+00:00,4,3,39,12
2023-05-24 00:00:00+00:00,3,2,7,6
2023-05-25 00:00:00+00:00,3,2,13,2
2023-05-26 00:00:00+00:00,3,2,45,9
2023-05-27 00:00:00+00:00,3,2,18,5
2023-05-28 00:00:00+00:00,4,3,17,4
2023-05-29 00:00:00+00:00,4,3,114,17
2023-05-30 00:00:00+00:00,3,2,78,13
2023-05-31 00:00:00+00:00,3,2,259,37
2023-06-01 00:00:00+00:00,4,3,367,29
2023-06-02 00:00:00+00:00,4,3,370,30
2023-06-03 00:00:00+00:00,3,2,628,41
2023-06-04 00:00:00+00:00,4,3,527,41
2023-06-05 00:00:00+00:00,5,4,668,54
2023-06-06 00:00:00+00:00,4,3,1860,132
2023-06-07 00:00:00+00:00,3,2,1530,123
2023-06-08 00:00:00+00:00,3,2,516,61
2023-06-09 00:00:00+00:00,3,2,553,78
2023-06-10 00:00:00+00:00,4,3,731,61
2023-06-11 00:00:00+00:00,3,2,1411,78
2023-06-12 00:00:00+00:00,5,4,1264,102
2023-06-13 00:00:00+00:00,3,2,2217,160
2023-06-14 00:00:00+00:00,4,3,3298,194
2023-06-15 00:00:00+00:00,3,2,1897,163
2023-06-16 00:00:00+00:00,3,2,2056,135
2023-06-17 00:00:00+00:00,4,3,2159,166
2023-06-18 00:00:00+00:00,8,6,639,76
2023-06-19 00:00:00+00:00,11,5,33,7
2023-06-20 00:00:00+00:00,4,3,27,9
2023-06-21 00:00:00+00:00,4,3,6,5
2023-06-22 00:00:00+00:00,5,3,3,2
2023-06-23 00:00:00+00:00,3,2,7,2
2023-06-24 00:00:00+00:00,3,2,5,4
2023-06-25 00:00:00+00:00,3,2,1,1
2023-06-26 00:00:00+00:00,5,4,11,7
2023-06-27 00:00:00+00:00,1,1,0,0
2023-06-28 00:00:00+00:00,4,3,7,3
2023-06-29 00:00:00+00:00,3,2,4,3
2023-06-30 00:00:00+00:00,3,2,6,3
2023-07-01 00:00:00+00:00,3,2,1,1
2023-07-02 00:00:00+00:00,3,2,5,2
2023-07-03 00:00:00+00:00,2,2,4,1
2023-07-04 00:00:00+00:00,3,2,14,3
2023-07-05 00:00:00+00:00,3,2,0,0
2023-07-06 00:00:00+00:00,3,2,10,3
2023-07-07 00:00:00+00:00,3,2,9,2
